"filename", "language", "JavaScript React", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Profile\ListOrdered\style.css", "CSS", 0, 0, 10, 0, 0, 1, 11
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Register\Index.jsx", "JavaScript React", 200, 0, 0, 0, 0, 19, 219
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Register\style.css", "CSS", 0, 0, 24, 0, 0, 5, 29
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Search\Index.jsx", "JavaScript React", 120, 0, 0, 0, 0, 16, 136
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Search\style.css", "CSS", 0, 0, 25, 0, 0, 5, 30
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\commom\Footer\Index.jsx", "JavaScript React", 104, 0, 0, 0, 0, 15, 119
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\commom\Footer\style.css", "CSS", 0, 0, 26, 0, 0, 5, 31
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\commom\Header\Index.jsx", "JavaScript React", 126, 0, 0, 0, 2, 11, 139
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\commom\Header\style.css", "CSS", 0, 0, 172, 0, 0, 33, 205
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\commom\Item\Index.jsx", "JavaScript React", 59, 0, 0, 0, 0, 6, 65
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\commom\Item\style.css", "CSS", 0, 0, 25, 0, 0, 5, 30
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\actions\admin\auth.action.js", "JavaScript", 0, 6, 0, 0, 0, 1, 7
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\actions\admin\order.action.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\actions\admin\product.action.js", "JavaScript", 0, 6, 0, 0, 0, 0, 6
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\actions\admin\user.action.js", "JavaScript", 0, 7, 0, 0, 0, 0, 7
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\actions\index.js", "JavaScript", 0, 7, 0, 0, 1, 1, 9
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\actions\user\auth.action.js", "JavaScript", 0, 50, 0, 0, 0, 12, 62
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\actions\user\cart.actions.js", "JavaScript", 0, 30, 0, 0, 0, 4, 34
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\actions\user\product.action.js", "JavaScript", 0, 43, 0, 0, 0, 6, 49
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\reducers\admin\auth.reducer.js", "JavaScript", 0, 46, 0, 0, 0, 5, 51
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\reducers\admin\product.reducer.js", "JavaScript", 0, 48, 0, 0, 0, 5, 53
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\reducers\admin\user.reducer.js", "JavaScript", 0, 43, 0, 0, 0, 4, 47
